,#,Title,Acceptance,Difficulty,FrequencyFrequency of problems that appear in real interviews,Frequency
0,1,Two Sum,47.8%,Easy,,3.25886
1,17,Letter Combinations of a Phone Number,51.9%,Medium,,9.90808
2,67,Add Binary,48.9%,Easy,,34.003
3,73,Set Matrix Zeroes,46.7%,Medium,,16.0138
4,124,Binary Tree Maximum Path Sum,36.8%,Hard,,51.1486
5,179,Largest Number,32.0%,Medium,,50.0176
6,241,Different Ways to Add Parentheses,59.7%,Medium,,82.2585
7,300,Longest Increasing Subsequence,47.3%,Medium,,26.6602
8,402,Remove K Digits,28.9%,Medium,,64.5169
9,836,Rectangle Overlap,42.9%,Easy,,100
10,994,Rotting Oranges,51.1%,Medium,,7.88907
